"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051402","BP","GO:0051402","neuron apoptotic process","17/512","309/29008",4.07940716019088e-05,0.00193725483209519,0.00145023900479513,"Nr4a2/Bdnf/Gdf5/Ngf/Nr4a3/Trp73/Kdm2b/Ntf5/Pawr/Six4/Esr2/Tgfb3/Dio3/Gdnf/Vegfa/Pou4f3/Pmaip1",17
"GO:0051953","BP","GO:0051953","negative regulation of amine transport","6/512","37/29008",4.28943258424898e-05,0.00201410547972769,0.00150776979779869,"Rgs4/Crh/Ghsr/Trh/Htr1b/Syt4",6
"GO:0051588","BP","GO:0051588","regulation of neurotransmitter transport","11/512","141/29008",4.35202026279761e-05,0.00202078807535902,0.00151277242351281,"Ngf/Chrm2/Mctp2/P2ry2/Drd4/Htr1b/Tacr2/Htr2a/Gdnf/Syt4/Htr2c",11
"GO:0071774","BP","GO:0071774","response to fibroblast growth factor","9/512","95/29008",4.74817663883342e-05,0.00218050881029504,0.00163234019324614,"Cd44/Thbs1/Zfp36/Fgf3/Ier2/Fgf10/Shisa2/Smoc2/Apln",9
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","15/512","253/29008",4.93566671176315e-05,0.0022419729552672,0.00167835257063616,"Eng/Thbs1/Fbn1/Bmp2/Gdf5/Hjv/Tgfbr3l/Myocd/Tgfb3/Inhba/Fst/Fgf10/Il17rd/Gdf10/Onecut2",15
"GO:0001662","BP","GO:0001662","behavioral fear response","7/512","55/29008",4.99662756884683e-05,0.0022452587752915,0.00168081235253116,"Bdnf/Crh/Penk/Drd4/Esr2/Adcyap1/Htr2c",7
"GO:0061138","BP","GO:0061138","morphogenesis of a branching epithelium","14/512","226/29008",5.45649696470033e-05,0.00242581923568965,0.00181598084872222,"Gbx2/Eng/Cd44/Spint1/Bmp2/Epha2/Slit2/Areg/Adm/Rspo3/Six4/Fgf10/Gdnf/Vegfa",14
"GO:0002209","BP","GO:0002209","behavioral defense response","7/512","56/29008",5.6243929157884e-05,0.00246272205440305,0.00184360649001546,"Bdnf/Crh/Penk/Drd4/Esr2/Adcyap1/Htr2c",7
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity","18/512","349/29008",5.65736581054542e-05,0.00246272205440305,0.00184360649001546,"Lax1/Thbs1/Bmp2/Trib3/Cd40/Trp73/Akap13/Drd4/Prkar2a/Tnfaip3/Kitl/Irak3/Myocd/Ern1/Syk/Htr2a/Dusp1/Vegfa",18
"GO:0007422","BP","GO:0007422","peripheral nervous system development","8/512","76/29008",5.87471242876484e-05,0.00253097146802147,0.00189469835467055,"Bdnf/Ngf/Heyl/Ntf5/Egr2/Gdnf/Cldn1/Onecut2",8
"GO:0014052","BP","GO:0014052","regulation of gamma-aminobutyric acid secretion","4/512","13/29008",6.04331091214884e-05,0.00256518528007476,0.00192031099164549,"Ntsr1/Trh/Htr1b/Htr2c",4
"GO:0061448","BP","GO:0061448","connective tissue development","16/512","288/29008",6.08069642702949e-05,0.00256518528007476,0.00192031099164549,"Col9a1/Arid5a/Nppc/Thbs1/Bmp2/Gdf5/Lncpint/Gpr4/Acan/Barx2/Col10a1/Arid5b/Col1a1/Ebf2/Stc1/Mkx",16
"GO:0001503","BP","GO:0001503","ossification","20/512","417/29008",6.13827537706332e-05,0.00256518528007476,0.00192031099164549,"Nppc/Twist2/Ptgs2/Suco/Bmp2/Epha2/Isg15/Areg/Tac1/P2ry2/Col10a1/Egr2/Col1a1/Hdac5/Gdf10/Stc1/Sp7/Vegfa/Mkx/Rorb",20
"GO:0060325","BP","GO:0060325","face morphogenesis","6/512","40/29008",6.77211754075821e-05,0.00280204744582461,0.00209762723617857,"Twist2/Tiparp/Csrnp1/Arid5b/Col1a1/Tgfb3",6
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","15/512","261/29008",7.01891075313533e-05,0.00287568902326986,0.00215275570261282,"Cd44/Cd40/Il12a/Tac1/Cd4/Lrrc32/Irs2/Kitl/Pawr/Irf1/Arg2/Btn2a2/Syk/Fgf10/Cd6",15
"GO:0046928","BP","GO:0046928","regulation of neurotransmitter secretion","10/512","124/29008",7.28115276053895e-05,0.0029541686782808,0.00221150597898025,"Ngf/Chrm2/Mctp2/P2ry2/Drd4/Htr1b/Tacr2/Htr2a/Syt4/Htr2c",10
"GO:0043271","BP","GO:0043271","negative regulation of ion transport","12/512","176/29008",7.40069945612806e-05,0.00297380029107299,0.00222620230603366,"Ptgs2/Rgs4/Ntsr1/Trh/Drd4/Rrad/Htr1b/Pawr/Stc1/Htr2a/Adcyap1/Gabre",12
"GO:0072073","BP","GO:0072073","kidney epithelium development","11/512","150/29008",7.64552261713694e-05,0.0030429180016205,0.00227794418226877,"Kif26b/Cd44/Bdnf/Bmp2/Heyl/Slit2/Sim1/Six4/Arg2/Gdnf/Vegfa",11
"GO:0035886","BP","GO:0035886","vascular associated smooth muscle cell differentiation","6/512","41/29008",7.81563466352821e-05,0.00305248011765275,0.00228510243187465,"Eng/Prok2/Mesp1/Adm/Myocd/Vegfa",6
"GO:0110110","BP","GO:0110110","positive regulation of animal organ morphogenesis","6/512","41/29008",7.81563466352821e-05,0.00305248011765275,0.00228510243187465,"Bmp2/Mesp1/Fgf3/Six4/Fgf10/Gdnf",6
"GO:0007369","BP","GO:0007369","gastrulation","12/512","178/29008",8.24765944221392e-05,0.00318313465469878,0.00238291109526701,"Nr4a3/Tal1/Epha2/Mesp1/Dusp4/Tnfaip3/Inhba/Itga5/Ets2/Dusp1/Tgif1/Apln",12
"GO:0001704","BP","GO:0001704","formation of primary germ layer","9/512","102/29008",8.30250484235864e-05,0.00318313465469878,0.00238291109526701,"Nr4a3/Tal1/Epha2/Mesp1/Dusp4/Inhba/Itga5/Ets2/Dusp1",9
"GO:0001837","BP","GO:0001837","epithelial to mesenchymal transition","11/512","152/29008",8.61410415510268e-05,0.003245617657171,0.00242968619466057,"Eng/Bmp2/Heyl/Tgfbr3l/Pawr/Myocd/Col1a1/Tgfb3/Il17rd/Epha3/Vegfa",11
"GO:0002064","BP","GO:0002064","epithelial cell development","15/512","266/29008",8.68064132783548e-05,0.003245617657171,0.00242968619466057,"Epha2/Fosl2/Shroom3/Cldn3/Gpr4/Arntl/Muc2/Exph5/Cdh23/Esr2/Stc1/Cldn5/Cldn1/Vegfa/Onecut2",15
"GO:0042060","BP","GO:0042060","wound healing","18/512","361/29008",8.69847278303786e-05,0.003245617657171,0.00242968619466057,"Tmeff2/Prss56/Serpinb2/Eng/Cd44/Thbs1/Procr/Grhl3/Cldn3/Gpr4/Pou2f3/Col1a1/Syk/Fgf10/Cldn1/Gp5/Smoc2/Vegfa",18
"GO:0042596","BP","GO:0042596","fear response","7/512","60/29008",8.81467185778698e-05,0.0032598684684683,0.00244035442583539,"Bdnf/Crh/Penk/Drd4/Esr2/Adcyap1/Htr2c",7
"GO:0060324","BP","GO:0060324","face development","7/512","61/29008",9.80747964184973e-05,0.00358149619164966,0.00268112660585705,"Twist2/Tiparp/Aldh1a3/Csrnp1/Arid5b/Col1a1/Tgfb3",7
"GO:0048562","BP","GO:0048562","embryonic organ morphogenesis","17/512","332/29008",9.85575644986147e-05,0.00358149619164966,0.00268112660585705,"Gbx2/Twist2/Eng/Nr4a3/Grhl3/Epha2/Kdm2b/Aldh1a3/Mesp1/Fgf3/Cdh23/Six4/Tgfb3/Asb2/Fgf10/T2/Pou4f3",17
"GO:0042220","BP","GO:0042220","response to cocaine","6/512","43/29008",0.000102856560787188,0.00370549627180741,0.00277395370834413,"Bdnf/Crh/Drd4/Htr1b/Hdac5/Htr2a",6
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","16/512","302/29008",0.000105910094827971,0.0037376391295321,0.00279801601817846,"Eng/Thbs1/Ism1/Cd40/Ghsr/Epha2/Hk2/Adamts9/Gpr4/Adm/Adm2/Itga5/Cldn5/Adamts1/Smoc2/Vegfa",16
"GO:0046883","BP","GO:0046883","regulation of hormone secretion","16/512","302/29008",0.000105910094827971,0.0037376391295321,0.00279801601817846,"Crh/Ghsr/Lepr/Nmu/Tac1/Trh/Arntl/Irs2/Tacr2/Inhba/Cartpt/Adcy8/Adcyap1/Galr1/Apln/Htr2c",16
"GO:0046879","BP","GO:0046879","hormone secretion","18/512","367/29008",0.000107013127575555,0.0037376391295321,0.00279801601817846,"Crh/Ghsr/Lepr/Nmu/Tac1/Trh/Adm/Arntl/Irs2/Tacr2/Inhba/Cartpt/Adcy8/Adcyap1/Mc4r/Galr1/Apln/Htr2c",18
"GO:0035148","BP","GO:0035148","tube formation","12/512","183/29008",0.000107387752632104,0.0037376391295321,0.00279801601817846,"Spint1/Grhl3/Shroom3/Kdm2b/Adm/Fgf3/Edar/Six4/Fgf10/Gdnf/Vegfa/Tgif1",12
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","14/512","241/29008",0.000108404806286567,0.0037376391295321,0.00279801601817846,"Cd44/Cd40/Il12a/Tac1/Cd4/Lrrc32/Irs2/Pawr/Irf1/Arg2/Btn2a2/Syk/Fgf10/Cd6",14
"GO:0071692","BP","GO:0071692","protein localization to extracellular region","19/512","401/29008",0.00010911509303731,0.0037376391295321,0.00279801601817846,"Fbn1/Crh/Ghsr/Il12a/Lepr/Nmu/Trh/Arntl/Drd4/Irs2/Exph5/Tacr2/Tgfb3/Pcsk1/Cartpt/Adcy8/Adcyap1/Syt4/Mc4r",19
"GO:0061326","BP","GO:0061326","renal tubule development","9/512","106/29008",0.000111875917438733,0.0037804173360841,0.00283004000524979,"Kif26b/Cd44/Bmp2/Heyl/Lgr5/Hdac5/Six4/Gdnf/Vegfa",9
"GO:1903998","BP","GO:1903998","regulation of eating behavior","4/512","15/29008",0.000112179099196273,0.0037804173360841,0.00283004000524979,"Ghsr/Lepr/Nmu/Mc4r",4
"GO:0043524","BP","GO:0043524","negative regulation of neuron apoptotic process","12/512","184/29008",0.000113077809765617,0.0037804173360841,0.00283004000524979,"Nr4a2/Bdnf/Gdf5/Ngf/Nr4a3/Trp73/Kdm2b/Ntf5/Six4/Tgfb3/Gdnf/Vegfa",12
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation","19/512","403/29008",0.000116378441210489,0.00385988496681456,0.00288952988535985,"Sgpp2/Scg2/Twist2/Eng/Thbs1/Bmp2/Gdf5/Ghsr/Il12a/Nr4a3/Zfp36/Mst1/Tnfaip3/Six4/Esr2/Fgf10/Cldn1/Vegfa/Apln",19
"GO:1901342","BP","GO:1901342","regulation of vasculature development","16/512","306/29008",0.000123268429247236,0.00405621075452124,0.00303650038725888,"Eng/Thbs1/Ism1/Cd40/Ghsr/Epha2/Hk2/Adamts9/Gpr4/Adm/Adm2/Itga5/Cldn5/Adamts1/Smoc2/Vegfa",16
"GO:0001763","BP","GO:0001763","morphogenesis of a branching structure","14/512","245/29008",0.000128892885093866,0.00416635199237013,0.0031189526885868,"Gbx2/Eng/Cd44/Spint1/Bmp2/Epha2/Slit2/Areg/Adm/Rspo3/Six4/Fgf10/Gdnf/Vegfa",14
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","14/512","245/29008",0.000128892885093866,0.00416635199237013,0.0031189526885868,"Cd44/Cd40/Il12a/Tac1/Cd4/Lrrc32/Irs2/Pawr/Irf1/Arg2/Btn2a2/Syk/Fgf10/Cd6",14
"GO:0050805","BP","GO:0050805","negative regulation of synaptic transmission","8/512","85/29008",0.000130577852926196,0.00416635199237013,0.0031189526885868,"Ptgs2/Bdnf/Drd4/Htr1b/Htr2a/Pcdh17/Adcy8/Syt4",8
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process","15/512","276/29008",0.000130603520220265,0.00416635199237013,0.0031189526885868,"Nr4a2/Bdnf/Gdf5/Ngf/Nr4a3/Trp73/Kdm2b/Ntf5/Pawr/Six4/Esr2/Tgfb3/Gdnf/Vegfa/Pmaip1",15
"GO:0019932","BP","GO:0019932","second-messenger-mediated signaling","16/512","308/29008",0.000132843873182453,0.00420571625779903,0.00314842098164474,"Nppc/Thbs1/Crh/Ksr2/Cd4/Drd4/Ackr2/Rasd1/Syk/Adcy8/Trat1/Pde10a/Vegfa/Adcyap1/Ptgdr2/Htr2c",16
"GO:0040013","BP","GO:0040013","negative regulation of locomotion","17/512","341/29008",0.000135895941816841,0.00426999354024494,0.00319653928832331,"Tmeff2/Eng/Thbs1/Frmd5/Ghsr/Slit2/Cldn3/Adamts9/Acan/Drd4/Muc2/Myocd/Hdac5/Stc1/Cldn5/Dusp1/Htr2c",17
"GO:0009914","BP","GO:0009914","hormone transport","18/512","375/29008",0.000139975928288426,0.00431864661943319,0.00323296123548959,"Crh/Ghsr/Lepr/Nmu/Tac1/Trh/Adm/Arntl/Irs2/Tacr2/Inhba/Cartpt/Adcy8/Adcyap1/Mc4r/Galr1/Apln/Htr2c",18
"GO:0001759","BP","GO:0001759","organ induction","5/512","29/29008",0.000140544613602037,0.00431864661943319,0.00323296123548959,"Bmp2/Mesp1/Fgf3/Fgf10/Gdnf",5
"GO:0032891","BP","GO:0032891","negative regulation of organic acid transport","5/512","29/29008",0.000140544613602037,0.00431864661943319,0.00323296123548959,"Rgs4/Thbs1/Trh/Irs2/Htr1b",5
"GO:0031644","BP","GO:0031644","regulation of nervous system process","12/512","189/29008",0.000145573309864518,0.00439260120083523,0.00328832401830766,"Rgs4/Ntsr1/Ghsr/Nmu/Tac1/Tafa4/Drd4/Egr2/Pawr/Glra1/Cartpt/Htr2c",12
"GO:0043409","BP","GO:0043409","negative regulation of MAPK cascade","12/512","189/29008",0.000145573309864518,0.00439260120083523,0.00328832401830766,"Lax1/Dusp27/Atf3/Bmp2/Trp73/Igbp1b/Dusp4/Irak3/Per1/Btn2a2/Dok2/Dusp1",12
"GO:0048839","BP","GO:0048839","inner ear development","13/512","218/29008",0.000146104706129719,0.00439260120083523,0.00328832401830766,"Gbx2/Bdnf/Bmp2/Nr4a3/Grhl3/Aldh1a3/Fgf3/Cdh23/Lgr5/Cys1/Six4/Fgf10/Pou4f3",13
"GO:0030198","BP","GO:0030198","extracellular matrix organization","16/512","311/29008",0.000148423704609633,0.00443044758259755,0.0033166560157882,"Col9a1/Eng/Spint1/Bmp2/Adamts9/Acan/Mpzl3/Impg1/Col10a1/Adamts14/Adamts2/Col1a1/Egflam/Adamts1/Smoc2/Mkx",16
"GO:0007204","BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","17/512","344/29008",0.000150836172916521,0.00443721879450507,0.00332172498010581,"Ntsr1/Ngf/Nmu/Tac1/Cd4/Gpr4/P2ry2/Adm/Ackr2/Pawr/Trpv3/Htr2a/Adcy8/Mchr1/Adcyap1/Galr1/Htr2c",17
"GO:0060323","BP","GO:0060323","head morphogenesis","6/512","46/29008",0.00015112770351901,0.00443721879450507,0.00332172498010581,"Twist2/Tiparp/Csrnp1/Arid5b/Col1a1/Tgfb3",6
"GO:0061333","BP","GO:0061333","renal tubule morphogenesis","8/512","87/29008",0.00015375868323925,0.00443721879450507,0.00332172498010581,"Kif26b/Cd44/Bmp2/Lgr5/Hdac5/Six4/Gdnf/Vegfa",8
"GO:0043062","BP","GO:0043062","extracellular structure organization","16/512","312/29008",0.000153959493946694,0.00443721879450507,0.00332172498010581,"Col9a1/Eng/Spint1/Bmp2/Adamts9/Acan/Mpzl3/Impg1/Col10a1/Adamts14/Adamts2/Col1a1/Egflam/Adamts1/Smoc2/Mkx",16
"GO:0060326","BP","GO:0060326","cell chemotaxis","16/512","312/29008",0.000153959493946694,0.00443721879450507,0.00332172498010581,"Scg2/Prss56/Eng/Thbs1/Il12a/Epha2/Slit2/Tafa4/Hrh1/Tpbg/Mst1/Ackr2/Syk/Smoc2/Dusp1/Vegfa",16
"GO:0007389","BP","GO:0007389","pattern specification process","21/512","482/29008",0.00015578077447398,0.00445895792141617,0.00333799900314829,"Gbx2/Lhx3/Eng/Bmp2/Pax1/Heyl/Grhl3/Shroom3/Kdm2b/Ntf5/Mesp1/Fgf3/Egr2/Asb2/Fst/Fgf10/Fezf2/Stc1/Gdnf/Ets2/Tgif1",21
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","16/512","313/29008",0.000159674351952361,0.00453931371978856,0.00339815377015695,"Col9a1/Eng/Spint1/Bmp2/Adamts9/Acan/Mpzl3/Impg1/Col10a1/Adamts14/Adamts2/Col1a1/Egflam/Adamts1/Smoc2/Mkx",16
"GO:0015849","BP","GO:0015849","organic acid transport","16/512","314/29008",0.000165573115612549,0.0046752030415192,0.00349988122048716,"Rgs4/Bdnf/Thbs1/Slc27a2/Ntsr1/Slc1a7/Trh/P2ry2/Drd4/Irs2/Htr1b/Slc16a3/Arg2/Syk/Syt4/Htr2c",16
"GO:0050731","BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","12/512","192/29008",0.000168670970109943,0.00473071130261378,0.00354143499234724,"Cd44/Cd40/Il12a/Areg/Cd4/Kitl/Syk/Fgf10/Htr2a/Gdnf/Itga5/Vegfa",12
"GO:0042462","BP","GO:0042462","eye photoreceptor cell development","6/512","47/29008",0.000170684771473454,0.00475527773325044,0.00355982554960776,"Cnga3/Bhlhe23/Gnat1/Dio3/Vegfa/Rorb",6
"GO:0071383","BP","GO:0071383","cellular response to steroid hormone stimulus","11/512","165/29008",0.000178418139880378,0.00493781063947087,0.0036964706289612,"Bdnf/Mgarp/Heyl/Trim63/Zfp36/Akap13/Arntl/Per1/Sstr2/Esr2/Gdnf",11
"GO:0060947","BP","GO:0060947","cardiac vascular smooth muscle cell differentiation","4/512","17/29008",0.000190187089568638,0.00522889373228512,0.00391437694042931,"Prok2/Mesp1/Myocd/Vegfa",4
"GO:0003085","BP","GO:0003085","negative regulation of systemic arterial blood pressure","5/512","31/29008",0.000195328726405173,0.00523361398464287,0.00391791054580134,"Ntsr1/Crh/Tac1/Ier3/Apln",5
"GO:0042634","BP","GO:0042634","regulation of hair cycle","5/512","31/29008",0.000195328726405173,0.00523361398464287,0.00391791054580134,"Arntl/Per1/Trpv3/Inhba/Fst",5
"GO:0007411","BP","GO:0007411","axon guidance","14/512","255/29008",0.000195368217660753,0.00523361398464287,0.00391791054580134,"Gbx2/Lhx3/Bdnf/Nr4a3/Epha8/Epha2/Slit2/Ntn5/Egr2/Fezf2/Gdnf/Epha3/Vegfa/Pou4f3",14
"GO:1901215","BP","GO:1901215","negative regulation of neuron death","14/512","255/29008",0.000195368217660753,0.00523361398464287,0.00391791054580134,"Nr4a2/Bdnf/Gdf5/Ngf/Nr4a3/Trp73/Kdm2b/Tac1/Ntf5/Six4/Esr2/Tgfb3/Gdnf/Vegfa",14
"GO:0097485","BP","GO:0097485","neuron projection guidance","14/512","256/29008",0.000203406242879742,0.00541423368786268,0.00405312339147564,"Gbx2/Lhx3/Bdnf/Nr4a3/Epha8/Epha2/Slit2/Ntn5/Egr2/Fezf2/Gdnf/Epha3/Vegfa/Pou4f3",14
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation","16/512","320/29008",0.000205111555048118,0.00541999313238094,0.00405743494148339,"Lmod1/Rgs4/Bdnf/Bmp2/Nphs1/Akap13/Mesp1/Barx2/Xirp1/Myocd/Hdac5/Six4/Asb2/Sik1/Vegfa/Nrap",16
"GO:0048545","BP","GO:0048545","response to steroid hormone","13/512","226/29008",0.000208321523622723,0.00541999313238094,0.00405743494148339,"Bdnf/Mgarp/Heyl/Trim63/Areg/Zfp36/Akap13/Arntl/Per1/Sstr2/Esr2/Tgfb3/Gdnf",13
"GO:0071560","BP","GO:0071560","cellular response to transforming growth factor beta stimulus","13/512","226/29008",0.000208321523622723,0.00541999313238094,0.00405743494148339,"Eng/Thbs1/Fbn1/Bmp2/Lrrc32/Tgfbr3l/Myocd/Fos/Tgfb3/Il17rd/Gdnf/Cldn5/Onecut2",13
"GO:0072175","BP","GO:0072175","epithelial tube formation","11/512","168/29008",0.000208810455686368,0.00541999313238094,0.00405743494148339,"Spint1/Grhl3/Shroom3/Kdm2b/Adm/Fgf3/Six4/Fgf10/Gdnf/Vegfa/Tgif1",11
"GO:0001505","BP","GO:0001505","regulation of neurotransmitter levels","14/512","257/29008",0.000211727614879708,0.00546178828754505,0.00408872301119228,"Ngf/Slc1a7/Chrm2/Mctp2/P2ry2/Drd4/Htr1b/Tacr2/Htr2a/Gdnf/Slc44a4/Slc5a7/Syt4/Htr2c",14
"GO:0010862","BP","GO:0010862","positive regulation of pathway-restricted SMAD protein phosphorylation","6/512","49/29008",0.000215771547643834,0.00553195888100356,0.00414125308102986,"Eng/Bmp2/Gdf5/Tgfb3/Inhba/Gdf10",6
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","13/512","227/29008",0.000217499939261721,0.00554226979374836,0.0041489718837345,"Cd44/Bmp2/Ngf/Cd4/Pde8a/Tpbg/Alkal2/Esr2/Fgf10/Htr2a/Vegfa/Adcyap1/Htr2c",13
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation","16/512","322/29008",0.000219998410591392,0.0055719597446147,0.00417119793478543,"Dyrk3/Cd44/Cd40/Il12a/Areg/Cd4/Gprc5a/Kitl/Irf1/Syk/Fgf10/Htr2a/Gdnf/Itga5/Epha3/Vegfa",16
"GO:0006820","BP","GO:0006820","anion transport","21/512","495/29008",0.000223384969848419,0.00562364933130448,0.00420989302720039,"Rgs4/Bdnf/Slco4a1/Ntsr1/Slc17a9/Clca1/Slc1a7/Gabrg1/Trh/P2ry2/Drd4/Htr1b/Glra1/Slc16a3/Arg2/Syk/Stc1/Slc44a4/Syt4/Gabre/Htr2c",21
"GO:0120193","BP","GO:0120193","tight junction organization","8/512","92/29008",0.000226854969268316,0.00564718774453553,0.00422751400530462,"Epha2/Cldn3/Cldn23/Tgfb3/Ocln/Cldn5/Cldn1/Mpp7",8
"GO:0098657","BP","GO:0098657","import into cell","13/512","228/29008",0.000227022622895901,0.00564718774453553,0.00422751400530462,"Cnga3/Rgs4/Thbs1/Slc27a2/Ntsr1/Slc1a7/Irs2/Kcnj5/Pawr/Trpv3/Kcnj2/Atp12a/Gdnf",13
"GO:0008585","BP","GO:0008585","female gonad development","9/512","117/29008",0.000237288527685771,0.00586762578224163,0.00439253506248589,"Tiparp/Arid5b/Kitl/Esr2/Inhba/Fst/Adamts1/Vegfa/Adcyap1",9
"GO:0035633","BP","GO:0035633","maintenance of blood-brain barrier","4/512","18/29008",0.00024112559503961,0.00592743448041489,0.0044373081638249,"Ptgs2/Ocln/Cldn5/Vegfa",4
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification","16/512","325/29008",0.000244085061696363,0.00593885457688605,0.0044458573072141,"Dyrk3/Cd44/Cd40/Il12a/Areg/Cd4/Gprc5a/Kitl/Irf1/Syk/Fgf10/Htr2a/Gdnf/Itga5/Epha3/Vegfa",16
"GO:0044344","BP","GO:0044344","cellular response to fibroblast growth factor stimulus","8/512","93/29008",0.000244432397038622,0.00593885457688605,0.0044458573072141,"Cd44/Thbs1/Zfp36/Fgf3/Fgf10/Shisa2/Smoc2/Apln",8
"GO:0071559","BP","GO:0071559","response to transforming growth factor beta","13/512","230/29008",0.000247142985754814,0.00596569979491546,0.00446595377652391,"Eng/Thbs1/Fbn1/Bmp2/Lrrc32/Tgfbr3l/Myocd/Fos/Tgfb3/Il17rd/Gdnf/Cldn5/Onecut2",13
"GO:0009306","BP","GO:0009306","protein secretion","18/512","393/29008",0.000248392381984994,0.00596569979491546,0.00446595377652391,"Crh/Ghsr/Il12a/Lepr/Nmu/Trh/Arntl/Drd4/Irs2/Exph5/Tacr2/Tgfb3/Pcsk1/Cartpt/Adcy8/Adcyap1/Syt4/Mc4r",18
"GO:0070997","BP","GO:0070997","neuron death","19/512","428/29008",0.000250351270677707,0.00597838834378365,0.00447545248994975,"Nr4a2/Bdnf/Gdf5/Ngf/Nr4a3/Trp73/Kdm2b/Tac1/Ntf5/Pawr/Six4/Esr2/Fos/Tgfb3/Dio3/Gdnf/Vegfa/Pou4f3/Pmaip1",19
"GO:0042472","BP","GO:0042472","inner ear morphogenesis","9/512","118/29008",0.000252937147640544,0.00600582011357861,0.00449598805495035,"Gbx2/Nr4a3/Grhl3/Aldh1a3/Fgf3/Cdh23/Six4/Fgf10/Pou4f3",9
"GO:0035592","BP","GO:0035592","establishment of protein localization to extracellular region","18/512","394/29008",0.000256130949161711,0.00603276488425167,0.004516159049885,"Crh/Ghsr/Il12a/Lepr/Nmu/Trh/Arntl/Drd4/Irs2/Exph5/Tacr2/Tgfb3/Pcsk1/Cartpt/Adcy8/Adcyap1/Syt4/Mc4r",18
"GO:0046579","BP","GO:0046579","positive regulation of Ras protein signal transduction","7/512","71/29008",0.000256959116869298,0.00603276488425167,0.004516159049885,"Ngf/Gpr4/Akap13/Lpar2/Kitl/Fgf10/Abra",7
"GO:0045666","BP","GO:0045666","positive regulation of neuron differentiation","9/512","119/29008",0.000269431577990596,0.00629024896325532,0.00470891296552809,"Brinp3/Bdnf/Bmp2/Gdf5/Ngf/Heyl/Fezf2/Hspa1a/Tgif1",9
"GO:0042326","BP","GO:0042326","negative regulation of phosphorylation","18/512","396/29008",0.000272240795375608,0.0063205237993037,0.00473157686465677,"Lax1/Eng/Bmp2/Trib3/Trp73/Slit2/Gprc5a/Irs2/Prkar2a/Tnfaip3/Gadd45b/Irak3/Irf1/Myocd/Ocln/Mas1/Dusp1/Ier3",18
"GO:0046545","BP","GO:0046545","development of primary female sexual characteristics","9/512","120/29008",0.000286806905265349,0.00662191191770106,0.00495719757166977,"Tiparp/Arid5b/Kitl/Esr2/Inhba/Fst/Adamts1/Vegfa/Adcyap1",9
"GO:0050708","BP","GO:0050708","regulation of protein secretion","15/512","298/29008",0.000298939639686633,0.00680342712874701,0.00509308079914261,"Crh/Ghsr/Il12a/Lepr/Nmu/Trh/Arntl/Drd4/Irs2/Exph5/Tgfb3/Pcsk1/Cartpt/Adcy8/Syt4",15
"GO:0051954","BP","GO:0051954","positive regulation of amine transport","6/512","52/29008",0.000300435085297189,0.00680342712874701,0.00509308079914261,"Ntsr1/Trh/Tacr2/Cartpt/Syt4/Htr2c",6
"GO:0050730","BP","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","14/512","266/29008",0.000300781644253502,0.00680342712874701,0.00509308079914261,"Cd44/Cd40/Il12a/Areg/Cd4/Gprc5a/Kitl/Irf1/Syk/Fgf10/Htr2a/Gdnf/Itga5/Vegfa",14
"GO:0014051","BP","GO:0014051","gamma-aminobutyric acid secretion","4/512","19/29008",0.000301180669733955,0.00680342712874701,0.00509308079914261,"Ntsr1/Trh/Htr1b/Htr2c",4
"GO:0017015","BP","GO:0017015","regulation of transforming growth factor beta receptor signaling pathway","9/512","121/29008",0.000305099176822513,0.00681126173862495,0.00509894582869066,"Eng/Thbs1/Fbn1/Bmp2/Tgfbr3l/Myocd/Tgfb3/Il17rd/Onecut2",9
"GO:0003156","BP","GO:0003156","regulation of animal organ formation","5/512","34/29008",0.000306255010038418,0.00681126173862495,0.00509894582869066,"Bmp2/Mesp1/Fgf3/Fgf10/Gdnf",5
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity","19/512","435/29008",0.000306417134927373,0.00681126173862495,0.00509894582869066,"Thbs1/Fbn1/Cd40/Epha8/Epha2/Areg/Cd4/Akap13/Drd4/Kitl/Ern1/Syk/Cartpt/Htr2a/Adcy8/Epha3/Mas1/Vegfa/Adcyap1",19
"GO:2000241","BP","GO:2000241","regulation of reproductive process","12/512","205/29008",0.00030846511913036,0.00682050652299352,0.00510586652216892,"Nppc/Tac1/Meiosin/P2ry2/Drd4/Tacr2/Glra1/Inhba/Ankrd31/Npm2/Vegfa/Ptgdr2",12
